( ˘͈ ᵕ ˘͈♡)	blush, heart, kiss, kissed face, love, popular, smiling
(╥﹏╥)	crying, popular, sad, sobbing, stupid ass memory leak
（＾ω＾）	Good Day #4, blush, happy, popular
(◍•ᴗ•◍)♡ ✧*。	Giving Love, heart, love, popular, smiling
⸜( ˙˘˙)⸝	happy, love, popular
♡´･ᴗ･`♡	In Love #7, heart, love, popular, smiling
(｡•́︿•̀｡)	So bad, popular, sad
(⋈◍＞◡＜◍)。✧♡	Happy Face Thinking Of Love, heart, love, popular, smiling
(づ◡﹏◡)づ	Hug me #8, hug, popular, sad
(≧◡≦)	Schadenfreude, happy, joy, popular, smiling
(　-_･) ︻デ═一 ▸	gun, popular, violence
(∩｀-´)⊃━━☆ﾟ.*･｡ﾟ	Shooting Magic, anger, popular, sparkles, violence, wand
◡̈	happy, popular
(っ◔◡◔)っ ♥	heart, love, popular, smiling
(づ￣ ³￣)づ	glomp, hug, hugging, kiss, kissing, love, popular, reaching, smooch
\\(◡̈ )/♥︎	happy, heart, love, popular
(。U⁄ ⁄ω⁄ ⁄ U。)	blush, popular, uwu
ʕ •ᴥ•ʔ	animals, bear, koala, koala bear, popular
(◕ᴗ◕✿)	Feminine #11, flower, flower girl, popular, smiling
ʕ•ᴥ•ʔ	Bear, animals, bear, cute, happy, popular
웃❤유	Boy Meets Girl, heart, love, popular
˚‧º·(˚ ˃̣̣̥⌓˂̣̣̥ )‧º·˚	Crying angry, anger, crying, popular, sad
ᕦ(ò_óˇ)ᕤ	Strongman, anger, flex, flexing, popular, strong, violence
٩(˘◡˘)۶	happy, popular, smiling
o(〃＾▽＾〃)o	Big smile #1, blush, happy, popular, smiling
(っ◔◡◔)っ 🍔	food, happy, popular, smiling
(๑´• .̫ •ू`๑)💓	blush, heart, love, popular
♡(.◜ω◝.)♡	Oww My Love, heart, love, popular
♡＾▽＾♡	heart, kiss, love, lovely cheeks, popular, smiling
(>‿♥)	Eye of heart, heart, popular, smiling, wink, winking
(⌐■_■)--︻╦╤─	gun, popular, violence
(　-_･) ︻デ═一' * (/❛o❛)/	gun, popular, violence
̸̱͂ ̸͆̿͞ ̄̿̄͞ ̿̅͞ ̿̅͞ ̄̚	gun, popular, violence
(• ε •)	happy, orly face, popular
(>‿◠)✌	Young man with eye twitch, happy, popular, smiling
(づ｡◕‿‿◕｡)づ	happy, hug, marshmallow raising the roof, popular, smiling
\\(◕ ◡ ◕\\)	happy, popular, smiling
(✿◠‿◠)	Happy flower, flower, happy, hippie, most used, popular, smiling
╭∩╮(Ο_Ο)╭∩╮	Middle Finger #1, anger, middle finger, popular
(ღ˘⌣˘)♥ ℒ♡ⓥℯ ㄚ♡ⓤ	Love Is In The Air, heart, love, popular, smiling
( ˘ ³˘)❤	Love Kiss, heart, kiss, love, popular
{ᶫᵒᵛᵉᵧₒᵤ}•..(❤️O❤️)	heart, love, popular
( ◜◒◝ )♡	Yes , The Love, heart, love, popular
𝓴𝓲𝓼𝓼 𝓶𝒆 𝓹𝓵𝒆𝓪𝓼𝒆(ʃƪ˶˘ ﻬ ˘˶)	Kawaii face #68, blush, kiss, love, popular
Ｉ ∟ＯⅤ∈ Υ〇∪…..φ(｡･ω･｡ )	I Love You #7, love, popular, smiling, writing
(╯︵╰,)	A Single Tear, popular, sad
¯¯̿̿¯̿̿'̿̿̿̿̿̿̿'̿̿'̿̿̿̿̿'̿̿̿)͇̿̿)̿̿̿̿ '̿̿̿̿̿̿\\̵͇̿̿\\=(•̪̀●́)=o/̵͇̿̿/'̿̿ ̿ ̿̿	gun, popular, violence
*:･ﾟ✧(ꈍᴗꈍ)✧･ﾟ:*	blush, popular, smiling, sparkles, uwu
ᕕ( ᐛ )ᕗ	Happy New Year!, celebrating, dancing, flirty, happy gary, most used, popular, running, swinging arms back and forth
◕w◕	owo, popular
ꆛ	dance, dancing
ꆜ	dance, dancing
ꐕ	dance, dancing
ヽ(⌐■_■)ノ♪♬	Gangnam Style Dance, boogie down, dance, dancing, glasses, music, sunglasses
┏(‘▀_▀’)ノ♬♪	Glasses Dance, dance, dancing, glasses, music, sunglasses
♬♪♫ ヾ(*・。・)ﾉ ♬♪♫	Choir, dance, dancing, music
ヽ(*￣o￣*)ノ♩♫♪	Singing a Lot, blush, dance, dancing, music
ヘ( ^o^)ノ＼(^_^ )	dance, dancing, excited, gimme five, smiling
♪┏(・o･)┛♪	Music Worried, dance, dancing, music
┗ ( ･o･) ┓♪	dance, dancing, music
┗ (･o･ ) ┓♪	dance, dancing, music
